where	reason	action	id
Error while assigning mother to cross	No individual found: NA	ignored	etylus
Error while assigning father to cross	No individual found: NA	ignored	etylus
Error while assigning mother to cross	No individual found: NA	ignored	himera
Error while assigning father to cross	No individual found: NA	ignored	himera
Error while assigning mother to cross	No individual found: X	ignored	HiCH6
Error while assigning father to cross	No individual found: X	ignored	HiCH6
Error while assigning mother to cross	No individual found: (PR187)	ignored	HiCH1
Error while assigning father to cross	No individual found: (PR187)	ignored	HiCH1
Error while assigning mother to cross	No individual found: X	ignored	CHCy6
Error while assigning father to cross	No individual found: X	ignored	CHCy6
Error while assigning mother to cross	No individual found: NA	ignored	NB3xStock
Error while assigning father to cross	No individual found: NA	ignored	NB3xStock
Error while assigning mother to cross	No individual found: NA	ignored	peterivana
Error while assigning father to cross	No individual found: NA	ignored	peterivana
Error while assigning mother to cross	No individual found: X	ignored	(CHCH)3
Error while assigning father to cross	No individual found: X	ignored	(CHCH)3
Error while assigning mother to cross	No individual found: X	ignored	EtHi10
Error while assigning father to cross	No individual found: X	ignored	EtHi10
Error while assigning mother to cross	No individual found: EC1188 	ignored	Brood_63
Error while assigning father to cross	No individual found: EC1188 	ignored	Brood_63
Error while assigning mother to cross	No individual found: (PR137)	ignored	CyCH2
Error while assigning father to cross	No individual found: (PR137)	ignored	CyCH2
Error while assigning mother to cross	No individual found: NA	ignored	erato
Error while assigning father to cross	No individual found: NA	ignored	erato
Error while assigning mother to cross	No individual found: NA	ignored	notabalis
Error while assigning father to cross	No individual found: NA	ignored	notabalis
Error while assigning mother to cross	No individual found: NA	ignored	cyrbia
Error while assigning father to cross	No individual found: NA	ignored	cyrbia
Error while assigning cross to individual	No cross found: 	ignored	PR1709
Error while assigning cross to individual	No cross found: 	ignored	PR2117
Error while assigning cross to individual	No cross found: 	ignored	PR2116
Error while assigning cross to individual	No cross found: 	ignored	PR2115
Error while assigning cross to individual	No cross found: 	ignored	PR2114
Error while assigning cross to individual	No cross found: 	ignored	PR2113
Error while assigning cross to individual	No cross found: 	ignored	PR2112
