Collection_No	Collection_Date	Genus	Species	Race	Sex	General_Notes	WildOrReared	Collection_No	Collection_Site	Dept._Province	Country	Latitude	Longitude	Altitude	Collector	Collection_Notes	IsWild
2	7/22/1999	Heliconius	charithonia		f		Wild	2	"El Progreso, Rio Yacumbi, Zamora"	Zamora	Ecuador	04-55S	78-50W				wild
3	7/22/1999	Heliconius	charithonia		m		Wild	3	"El Progreso, Rio Yacumbi, Zamora"	Zamora	Ecuador	04-55S	78-50W				wild
4	7/22/1999	Heliconius	charithonia		m		Wild	4	"El Progreso, Rio Yacumbi, Zamora"	Zamora	Ecuador	04-55S	78-50W				wild
5	7/22/1999	Heliconius	charithonia		m		Wild	5	"El Progreso, Rio Yacumbi, Zamora"	Zamora	Ecuador	04-55S	78-50W				wild
6	7/22/1999	Heliconius	charithonia		?		Wild	6	"El Progreso, Rio Yacumbi, Zamora"	Zamora	Ecuador	04-55S	78-50W				wild
7	7/22/1999	Dryas	iulia		m		Wild	7	"El Progreso, Rio Yacumbi, Zamora"	Zamora	Ecuador	04-55S	78-50W				wild
8	7/24/1999	Heliconius	numata		m		Wild	8	"Rio Pindo, Shell (‘Proyecto Fundacion 2000), Puyo"	Pastaza	Ecuador	01-30S	78-05W				wild
9	7/26/1999	Heliconius	sara		m		Wild	9	"Rio Quilo, 23km Puyo to Banos"	Pastaza	Ecuador	01-30S	78-05W				wild
10	7/26/1999	Heliconius	doris?		f		Wild	10	"Rio Quilo, 23km Puyo to Banos"	Pastaza	Ecuador	01-30S	78-05W				wild
11	7/26/1999	Heliconius	telesiphe		f		Wild	11	"Rio Quilo, 23km Puyo to Banos"	Pastaza	Ecuador	01-30S	78-05W				wild
12	7/26/1999	Heliconius	telesiphe		m		Wild	12	"Rio Quilo, 23km Puyo to Banos"	Pastaza	Ecuador	01-30S	78-05W				wild
13	7/26/1999	Podotricha	telesiphe		m	mimic of H. telesiphe	Wild	13	"Rio Quilo, 23km Puyo to Banos"	Pastaza	Ecuador	01-30S	78-05W			mimic of H. telesiphe	wild
14	7/26/1999	Heliconius	melpomene	plesseni	m		Wild	14	"Rio Quilo, 23km Puyo to Banos"	Pastaza	Ecuador	01-30S	78-05W				wild
15	7/26/1999	Heliconius	wallacei		m		Wild	15	"Rio Pindo, Shell (‘Proyecto Fundacion 2000’), Puyo"	Pastaza	Ecuador	01-30S	78-05W				wild
16	7/25/1999	Heliconius	sara		m		Wild	16	"Rio Quilo, 23km Puyo to Banos"	Pastaza	Ecuador	01-30S	78-05W				wild
17	7/25/1999	Heliconius	doris?		m		Wild	17	"Gavilan del Anzu, 15km Puyo to Tena"	Pastaza	Ecuador	01-30S	78-05W				wild
18	7/25/1999	Heliconius	erato?	notabalis hybrid?	m	INEFAN?	Wild	18	"Gavilan del Anzu, 15km Puyo to Tena"	Pastaza	Ecuador	01-30S	78-05W			possible hybrid zone- individuals seen with no red band. Also H. mel caught with distal-most band only on forewing	wild
19	7/25/1999	Heliconius	erato	notabalis hybrid?	m	INEFAN?	Wild	19	"Gavilan del Anzu, 15km Puyo to Tena"	Pastaza	Ecuador	01-30S	78-05W			possible hybrid zone- individuals seen with no red band. Also H. mel caught with distal-most band only on forewing	wild
20	7/25/1999	Heliconius	melpomene	plesseni hybrid?	m		Wild	20	"Gavilan del Anzu, 15km Puyo to Tena"	Pastaza	Ecuador	01-30S	78-05W			possible hybrid zone- individuals seen with no red band. Also H. mel caught with distal-most band only on forewing	wild
21	7/25/1999	Heliconius	melpomene	plesseni hybrid?	m		Wild	21	"Gavilan del Anzu, 15km Puyo to Tena"	Pastaza	Ecuador	01-30S	78-05W			possible hybrid zone- this individual has no red band. Also H. mel caught with distal-most band only on forewing	wild
22	7/25/1999	Heliconius	melpomene hybrid?	plesseni	m		Wild	22	"Gavilan del Anzu, 15km Puyo to Tena"	Pastaza	Ecuador	01-30S	78-05W			possible hybrid zone- this individual has distal-most band only on forewing.	wild
