PR01	10/17/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR01			NoF29		cyrbia	mother	CyHiB2	This is the female parent of CyHiB2						Reared	
PR02	10/18/1999	Heliconius	erato	cyrbia	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR02														Reared	
PR03	10/18/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR03														Reared	
PR04	10/18/1999	Heliconius	erato	cyrbia	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR04														Reared	
PR05	9/30/1999	Heliconius	erato	etylus	f		Reared	PR05					etylus		EBr2-?							Reared	
PR06	9/30/1999	Heliconius	erato	etylus	f		Reared	PR06					etylus		EBr2-?							Reared	
PR07	9/23/1999	Heliconius	erato	etylus	m		Reared	PR07					etylus		EBr2-?							Reared	
PR08	9/25/1999	Heliconius	erato	etylus	?		Reared	PR08					etylus		EBr2-?							Reared	
PR09	9/28/1999	Heliconius	erato	etylus	m		Reared	PR09					etylus		EBr3-?							Reared	
PR10	9/28/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR10					cyrbia	mother	CBr3							Reared	
PR11	9/28/1999	Heliconius	erato	cyrbia	m	INEFAN?	Reared	PR11					cyrbia	father	CBr male 1							Reared	
PR12	9/28/1999	Heliconius	erato	notabalis	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR12														Reared	
PR13	9/28/1999	Heliconius	erato	notabalis	f		Reared	PR13						mother	NBr1 female							Reared	
PR14	1/10/1999	Heliconius	erato	notabalis	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR14														Reared	
PR15	1/10/1999	Heliconius	erato	notabalis	f		Reared	PR15							NBr1-?							Reared	
PR16	1/10/1999	Heliconius	erato	petiverana	f		Reared	PR16					petiverana	mother	PBr1							Reared	
PR17	10/13/1999	Heliconius	erato	etylus	f		Reared	PR17					etylus	mother	EBr6							Reared	
PR18	1/10/1999	Heliconius	himera		f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR18														Reared	
PR19	1/10/1999	Heliconius	himera		f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR19														Reared	
PR20	1/10/1999	Heliconius	himera			INEFAN?	Reared	PR20					himera		HBr2-?							Reared	
PR21	1/10/1999	Heliconius	himera			INEFAN?	Reared	PR21					himera		HBr2-?							Reared	
PR22	1/10/1999	Heliconius	himera		f	INEFAN?	Reared	PR22					himera		HBr2-?							Reared	
PR23	8/28/1999	Heliconius	himera		f	INEFAN?	Reared	PR23					himera	mother	HBr1							Reared	
PR24	8/28/1999	Heliconius	erato	etylus	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR24														Reared	
PR25	8/28/1999	Heliconius	doris??			Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR25														Reared	
PR26	8/28/1999	Heliconius	erato	petiverana	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR26														Reared	
PR27	8/28/1999	Heliconius	erato	petiverana	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR27														Reared	
PR28	8/28/1999	Heliconius	erato	petiverana	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR28														Reared	
PR29	8/28/1999	Heliconius	erato	petiverana	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR29														Reared	
PR30	10/20/1999	Heliconius	himera		f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR30														Reared	
PR31	10/20/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR31					cyrbia	mother	CBr10							Reared	
PR32	10/20/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR32					cyrbia		CBr9-?							Reared	
PR33	10/20/1999	Heliconius	erato	etylus	f		Reared	PR33					etylus		EBr2-7							Reared	
PR34	10/20/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR34					cyrbia		CBr6-14							Reared	
PR35	10/20/1999	Heliconius	himera		f	INEFAN?	Reared	PR35					himera		HBr1-12							Reared	
PR36	10/20/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR36					cyrbia		CBr6-19							Reared	
PR37	10/27/1999	Heliconius	himera		f		Reared	PR37					himera	mother	HBr4							Reared	
PR38	10/27/1999	Heliconius	erato	etylus	f		Reared	PR38					etylus		EBr6-12							Reared	
PR39	10/27/1999	Heliconius	hybrid erato x himera	petiverana x himera	m		Reared	PR39					petiverana x himera	father1/3	PH2PH2-1							Reared	
PR40	10/27/1999	Heliconius	hybrid erato x himera	petiverana x himera	m		Reared	PR40					petiverana x himera	father2/3	PH2PH2-1							Reared	
PR41	10/27/1999	Heliconius	hybrid erato x himera	petiverana x himera	m		Reared	PR41					petiverana x himera	father3/3	PH2PH2-1							Reared	
PR42	10/27/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR42														Reared	
PR43	10/27/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR43														Reared	
PR44	10/27/1999	Heliconius	himera		m		Reared	PR44					himera		HBr1							Reared	
PR45	10/27/1999	Heliconius	himera		m		Reared	PR45					himera		HBr1							Reared	
PR46	10/27/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR46					cyrbia	mother1/2	CBr11A							Reared	
PR47	10/27/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR47					cyrbia	mother2/2	CBr11B							Reared	
PR48	10/27/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR48														Reared	
PR49	10/27/1999	Heliconius	erato	etylus	f		Reared	PR49					etylus		EBr6 - ?							Reared	
